step,time,mode,p_pv_kw,p_load_kw,p_ev_kw,batt_state,batt_kw,soc_batt_pct,sc_state,sc_kw,soc_sc_pct,grid_kw,export_kw,net_grid_kw,peak_shave_kw,ev_alert,evening,voltage_violation,transformer_loading_pct,self_sufficiency_pct,bess_charged_kwh_cum,bess_discharged_kwh_cum,ev_energy_kwh_cum,pv_total_kwh_cum,grid_import_kwh_cum,co2_saved_kg_step,co2_saved_kg_cum,v_mainbus_pu,v_panelbus_pu,v_mechworkshopbus_pu,v_hostelfbus_pu,v_guesthousebus_pu,v_auditoriumbus_pu,v_librarybus_pu,v_civildeptbus_pu,v_mechdeptbus_pu,v_elecdeptbus_pu,v_ltdbus_pu,v_hostelcbus_pu,v_hosteldbus_pu,v_gymbus_pu,v_evbus_pu,v_lecturetheatrebus_pu,v_adminbus_pu,v_pumphousebus_pu,v_securitybus_pu,v_uppercanteenbus_pu,v_lowercanteenbus_pu,v_boyshostelbbus_pu,v_hostelblockbus_pu
24,06:00,NORMAL,43.5,81.16,0.0,CHARGING,43.5,26.94,IDLING,-0.0,15.0,81.16,0.0,81.16,0.0,,,,8.12,0.0,27.18,0.0,0.0,27.18,477.23,7.829,19.57,1.0,1.0,1.0004,1.0004,1.0002,1.0014,1.0007,1.0002,1.0008,1.0,1.0,1.0014,1.0013,1.0,1.0,1.0004,1.0004,1.0,0.9999,1.0002,1.0004,1.0002,1.0001
25,06:15,NORMAL,157.58,91.66,0.0,CHARGING,100.0,30.56,IDLING,-0.0,15.0,34.08,0.0,34.08,0.0,,,,9.17,62.8,52.18,0.0,0.0,66.58,485.75,28.365,47.94,1.0,1.0,1.0016,1.0016,1.0007,1.0051,1.0024,1.0008,1.0028,1.0011,1.0,1.0049,1.0049,1.0,1.0,1.0016,1.0015,1.0,0.9999,1.0007,1.0014,1.0008,1.0004
26,06:30,NORMAL,271.85,99.84,0.0,CHARGING,100.0,34.17,IDLING,-0.0,15.0,0.0,72.01,-72.01,0.0,,,,9.98,100.0,77.18,0.0,0.0,134.54,485.75,48.933,96.87,1.0,1.0,1.0027,1.0028,1.0011,1.0088,1.0042,1.0013,1.0049,1.0022,1.0,1.0085,1.0084,1.0,1.0,1.0027,1.0026,1.0,0.9999,1.0012,1.0024,1.0014,1.0008
27,06:45,NORMAL,386.12,108.34,0.0,CHARGING,100.0,37.79,IDLING,-0.0,15.0,0.0,177.78,-177.78,0.0,,,,10.83,100.0,102.18,0.0,0.0,231.07,485.75,69.501,166.37,1.0,1.0,1.0039,1.004,1.0016,1.0125,1.0059,1.0019,1.0069,1.0033,1.0,1.012,1.0119,1.0,1.0,1.0038,1.0037,1.0,0.9999,1.0016,1.0033,1.002,1.0011
28,07:00,NORMAL,500.39,117.2,0.0,CHARGING,100.0,41.41,IDLING,-0.0,15.0,0.0,283.19,-283.19,0.0,,,,11.72,100.0,127.18,0.0,0.0,356.17,485.75,90.07,256.44,1.0,1.0,1.005,1.0051,1.0021,1.0162,1.0077,1.0025,1.009,1.0044,1.0,1.0156,1.0155,1.0,1.0,1.005,1.0048,1.0,0.9999,1.0021,1.0043,1.0026,1.0014
29,07:15,NORMAL,628.66,129.78,0.0,CHARGING,100.0,45.03,IDLING,-0.0,15.0,0.0,398.88,-398.88,0.0,,,,12.98,100.0,152.18,0.0,0.0,513.34,485.75,113.16,369.6,1.0,1.0,1.0063,1.0064,1.0027,1.0204,1.0096,1.0031,1.0113,1.0054,1.0,1.0196,1.0194,1.0,1.0,1.0062,1.006,1.0,0.9999,1.0027,1.0055,1.0033,1.0018
30,07:30,NORMAL,756.94,140.24,0.0,CHARGING,100.0,48.65,IDLING,-0.0,15.0,0.0,516.7,-516.7,0.0,,,,14.02,100.0,177.18,0.0,0.0,702.57,485.75,136.249,505.85,1.0,1.0,1.0076,1.0077,1.0032,1.0245,1.0116,1.0037,1.0136,1.0065,1.0,1.0236,1.0234,1.0,1.0,1.0075,1.0072,1.0,0.9999,1.0032,1.0066,1.0039,1.0022
31,07:45,NORMAL,885.22,152.05,0.0,CHARGING,100.0,52.27,IDLING,-0.0,15.0,0.0,633.17,-633.17,0.0,,,,15.21,100.0,202.18,0.0,0.0,923.87,485.75,159.339,665.19,1.0,1.0,1.0089,1.0091,1.0037,1.0287,1.0136,1.0043,1.0159,1.0076,1.0,1.0275,1.0274,1.0,1.0,1.0088,1.0084,1.0,0.9999,1.0038,1.0077,1.0046,1.0025
32,08:00,NORMAL,1013.49,165.31,0.0,CHARGING,100.0,55.89,IDLING,-0.0,15.0,0.0,748.18,-748.18,0.0,,,,16.53,100.0,227.18,0.0,0.0,1177.25,485.75,182.429,847.62,1.0,1.0,1.0101,1.0104,1.0043,1.0329,1.0155,1.005,1.0182,1.0086,1.0,1.0315,1.0313,1.0,1.0,1.0101,1.0097,1.0,0.9999,1.0043,1.0088,1.0053,1.0029
33,08:15,NORMAL,1124.81,170.12,0.0,CHARGING,100.0,59.51,IDLING,-0.0,15.0,0.0,854.69,-854.69,0.0,,,,17.01,100.0,252.18,0.0,0.0,1458.45,485.75,202.466,1050.09,1.0,1.0,1.0113,1.0115,1.0048,1.0365,1.0172,1.0055,1.0202,1.0096,1.0,1.035,1.0348,1.0,1.0,1.0112,1.0107,1.0,0.9999,1.0048,1.0098,1.0059,1.0032
